dt,landing_position,error,num_points
0.1,39.35323292843622,1.4214867453660176,29
0.05,40.064813238516614,0.7099064352856246,58
0.02,40.491612140645394,0.2831075331568442,145
0.01,40.633191204074116,0.14152846972812227,289
0.005,40.703980735789195,0.07073893801304365,577
0.001,40.76057672980802,0.014142943994215784,2884
0.0005,40.767648307999195,0.007071365803042795,5767
0.0001,40.77330545659268,0.0014142172095574779,28833
